Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
HBR_Rep1_ERCC.read1	0.37445918479223417	6.932555177910282
HBR_Rep1_ERCC.read2	0.44867632051682116	4.178087390677316
HBR_Rep2_ERCC.read1	0.390123320398271	7.585654509549391
HBR_Rep2_ERCC.read2	0.49991023711212074	4.877577230607764
HBR_Rep3_ERCC.read1	0.34287211255451283	7.141756429815234
HBR_Rep3_ERCC.read2	0.4237745211347911	4.515895397038201
UHR_Rep1_ERCC.read1	0.27221714044469464	2.9407367013791164
UHR_Rep1_ERCC.read2	0.35665282859555303	1.8716577540106951
UHR_Rep2_ERCC.read1	0.5222543156805626	6.651967999605845
UHR_Rep2_ERCC.read2	0.42002056992233927	3.5898825543655657
UHR_Rep3_ERCC.read1	0.5317026347860787	6.125365343341853
UHR_Rep3_ERCC.read2	0.38071202855879466	3.5763203589262407
