Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
HBR_Rep1_ERCC.read1	(1, 32.92720817063194)	(2, 33.12306550505604)	(3, 33.18328259017804)	(4, 36.50111747391858)	(5, 36.431285896214085)	(6, 36.40617014278365)	(7, 36.409720758026836)	(8, 36.410344856668154)	(9, 38.23154902969529)	(10, 38.21925259970819)	(12, 38.20450616086564)	(14, 39.75543767025664)	(16, 39.72903576759916)	(18, 39.704514594631064)	(20, 39.67214580293664)	(22, 39.613914869571815)	(24, 39.558306837253625)	(26, 39.47335773502796)	(28, 39.37746582216562)	(30, 39.274379907397254)	(32, 39.16791626957688)	(34, 39.03729832758432)	(36, 38.86920073205084)	(38, 38.721892368285665)	(40, 38.68162113838966)	(42, 38.68108981116799)	(44, 38.67212471852308)	(46, 38.5175928346729)	(48, 38.40141771596765)	(50, 38.18388138752309)	(52, 37.96565349031383)	(54, 37.73442494370461)	(56, 37.485342115694394)	(58, 37.18672778335343)	(60, 36.87637364954331)	(62, 36.53543446542578)	(64, 36.21925259970819)	(66, 35.89499962048056)	(68, 35.62670045795346)	(70, 35.36723566470722)	(72, 35.052609828710224)	(74, 34.78500645183055)	(76, 33.269357600087716)	(78, 34.192821178871725)	(80, 34.16799217346569)	(82, 33.98481500535544)	(84, 33.77648413187036)	(86, 33.61990705990504)	(88, 33.4380033903737)	(90, 33.25725092982263)	(92, 33.160199374214606)	(94, 32.981386679710894)	(96, 32.77389918276813)	(98, 32.56774843764495)	(100, 32.41754729233961)
HBR_Rep1_ERCC.read2	(1, 32.72570021337427)	(2, 32.83652832480117)	(3, 32.85667659039731)	(4, 36.2368116993194)	(5, 36.21184775366658)	(6, 36.224498401801455)	(7, 36.25683345843419)	(8, 36.246156311408356)	(9, 38.03427482268008)	(10, 37.9970270976883)	(12, 37.97678606067251)	(14, 39.48948309451721)	(16, 39.42563105649779)	(18, 39.38791104064232)	(20, 39.349284395003835)	(22, 39.26799554697186)	(24, 39.20667785546213)	(26, 39.138263150348735)	(28, 39.034177834377715)	(30, 38.92199188671766)	(32, 38.814267400966514)	(34, 38.72712551973079)	(36, 38.57104603992545)	(38, 38.441178703055556)	(40, 38.253527422388274)	(42, 38.04494353594049)	(44, 37.88758212379081)	(46, 38.02983866206745)	(48, 38.06825868045306)	(50, 36.657007194001906)	(52, 36.76504372907372)	(54, 37.321731283366084)	(56, 37.16101323257794)	(58, 36.90724966475783)	(60, 36.59786119708866)	(62, 36.26272866046504)	(64, 35.91600391326716)	(66, 35.602229887577906)	(68, 35.289425744912336)	(70, 35.03656880687521)	(72, 34.779499203009166)	(74, 34.535712779684744)	(76, 34.26026600096145)	(78, 33.999173490988525)	(80, 33.72380261615403)	(82, 33.51012473539061)	(84, 33.275720876099555)	(86, 33.098274451594406)	(88, 32.9056472493274)	(90, 32.735306272191345)	(92, 32.54520076578591)	(94, 32.34174882559816)	(96, 32.09394792993228)	(98, 31.852953082962948)	(100, 31.655683092830458)
HBR_Rep2_ERCC.read1	(1, 32.911300457100246)	(2, 33.098235123527544)	(3, 33.165757529725326)	(4, 36.48147432090923)	(5, 36.417735765677435)	(6, 36.389025451231134)	(7, 36.39601314681065)	(8, 36.39433527129107)	(9, 38.222598152265476)	(10, 38.20322663057738)	(12, 38.17825873807189)	(14, 39.729944899396514)	(16, 39.69099125847569)	(18, 39.665557289436975)	(20, 39.63760305470012)	(22, 39.58834739618577)	(24, 39.52801983069338)	(26, 39.43445582975433)	(28, 39.34964025796473)	(30, 39.24203181749134)	(32, 39.13040821399473)	(34, 38.99267051496278)	(36, 38.81115269357712)	(38, 38.66429025175037)	(40, 38.63369491665861)	(42, 38.62712151133084)	(44, 38.61863201358872)	(46, 38.45277436371922)	(48, 38.33546117409857)	(50, 38.102391835720105)	(52, 37.87690746136744)	(54, 37.66819493737312)	(56, 37.40920483891014)	(58, 37.08724952701863)	(60, 36.78338834187231)	(62, 36.44830348141908)	(64, 36.12836092966732)	(66, 35.788535898250316)	(68, 35.52911769986052)	(70, 35.25969784430973)	(72, 34.95255340891829)	(74, 34.69311104359714)	(76, 33.182090922900585)	(78, 34.10603758993551)	(80, 34.0786150276884)	(82, 33.89337549887451)	(84, 33.70091005758634)	(86, 33.538998522364764)	(88, 33.36975059726845)	(90, 33.181745681024125)	(92, 33.08884454448787)	(94, 32.919413641197025)	(96, 32.720150387361386)	(98, 32.49108585474984)	(100, 32.34708546807894)
HBR_Rep2_ERCC.read2	(1, 32.68757681631751)	(2, 32.79657658155303)	(3, 32.82313949152776)	(4, 36.20867799980667)	(5, 36.183958681452225)	(6, 36.18983469818955)	(7, 36.23149158300305)	(8, 36.229454655931946)	(9, 38.01778686147515)	(10, 37.96429508513665)	(12, 37.94579357297722)	(14, 39.44826550481267)	(16, 39.379465703672)	(18, 39.352157071244115)	(20, 39.313248311767225)	(22, 39.22015383978015)	(24, 39.14629624514935)	(26, 39.08302031403201)	(28, 38.994921491997296)	(30, 38.875875188156826)	(32, 38.76654744313866)	(34, 38.65968127269966)	(36, 38.504995649952356)	(38, 38.36936047394805)	(40, 38.16927209202767)	(42, 37.96922859155124)	(44, 37.810852333144595)	(46, 37.97168671371162)	(48, 37.995632690262795)	(50, 36.57188626351622)	(52, 36.666275392540015)	(54, 37.229596205101295)	(56, 37.07043279521633)	(58, 36.8085806415975)	(60, 36.478184165826576)	(62, 36.16521204756052)	(64, 35.809471365638764)	(66, 35.46568986231754)	(68, 35.17361868725229)	(70, 34.920183530581525)	(72, 34.6591496002099)	(74, 34.410689378978915)	(76, 34.13041511883225)	(78, 33.87522613342908)	(80, 33.60316862994213)	(82, 33.39647231850634)	(84, 33.176598124646134)	(86, 32.9969100852057)	(88, 32.820888514493255)	(90, 32.63516219463356)	(92, 32.44941516026128)	(94, 32.26024677889329)	(96, 32.028185546794084)	(98, 31.774778009473437)	(100, 31.561660199135513)
HBR_Rep3_ERCC.read1	(1, 32.91442066170465)	(2, 33.11350222674248)	(3, 33.176267085818196)	(4, 36.48532199158615)	(5, 36.416516419336446)	(6, 36.39249225648375)	(7, 36.40783289414883)	(8, 36.392345861649176)	(9, 38.22248932858706)	(10, 38.20457137133435)	(12, 38.18322084046045)	(14, 39.7432658376096)	(16, 39.71097807159478)	(18, 39.68458847641502)	(20, 39.650008475490424)	(22, 39.6091296441835)	(24, 39.54446550475398)	(26, 39.45752623549535)	(28, 39.36541691707889)	(30, 39.26025534341146)	(32, 39.160656773457845)	(34, 39.00256576210069)	(36, 38.84016766061055)	(38, 38.699986901514805)	(40, 38.65564852911716)	(42, 38.655687054073624)	(44, 38.65299801211225)	(46, 38.50068189172946)	(48, 38.36685775045074)	(50, 38.14734254850292)	(52, 37.919660055784135)	(54, 37.72099841277179)	(56, 37.45302266808439)	(58, 37.14842509977964)	(60, 36.839104371812056)	(62, 36.508668115205026)	(64, 36.176706270321915)	(66, 35.86258918527422)	(68, 35.60851709737568)	(70, 35.32829812152312)	(72, 35.00567472608756)	(74, 34.74509192054613)	(76, 33.23902809239826)	(78, 34.15723575732359)	(80, 34.13093862203936)	(82, 33.94824942597815)	(84, 33.74432527391244)	(86, 33.57011156827393)	(88, 33.399264943830616)	(90, 33.20310357049297)	(92, 33.11025072041669)	(94, 32.943491593854496)	(96, 32.750192624782336)	(98, 32.52183594532538)	(100, 32.36348296426425)
HBR_Rep3_ERCC.read2	(1, 32.69562972893841)	(2, 32.81033393432266)	(3, 32.826853435655615)	(4, 36.20415915430016)	(5, 36.18324010293868)	(6, 36.191499853605166)	(7, 36.2216263695622)	(8, 36.219314872174195)	(9, 38.01396144422357)	(10, 37.962322592575475)	(12, 37.92881358544065)	(14, 39.436302836977795)	(16, 39.38257593268919)	(18, 39.34699428289646)	(20, 39.31612423527962)	(22, 39.21615967823956)	(24, 39.14749664832879)	(26, 39.0902870879756)	(28, 38.98230163499915)	(30, 38.87995238315381)	(32, 38.762501348373476)	(34, 38.6767871727305)	(36, 38.52571540844159)	(38, 38.39178724978041)	(40, 38.19711679225802)	(42, 37.99927187832278)	(44, 37.85378623272156)	(46, 37.997892684881265)	(48, 38.006175550521625)	(50, 36.60957653367852)	(52, 36.72198850415299)	(54, 37.286340591435135)	(56, 37.124897908865364)	(58, 36.85241089177569)	(60, 36.52213643998582)	(62, 36.189219176182334)	(64, 35.85115112569923)	(66, 35.537611914998536)	(68, 35.22527083044396)	(70, 34.979539395620485)	(72, 34.71462253247654)	(74, 34.46102815403819)	(76, 34.18245034133112)	(78, 33.93043163361226)	(80, 33.64087420831214)	(82, 33.42687192763472)	(84, 33.18629898448215)	(86, 32.99646340899635)	(88, 32.81140492811243)	(90, 32.62223968686915)	(92, 32.440806404388766)	(94, 32.23923227466753)	(96, 32.008186553249196)	(98, 31.75301650409135)	(100, 31.562749449093122)
UHR_Rep1_ERCC.read1	(1, 32.407072368421055)	(2, 32.566391957500706)	(3, 32.55975144244301)	(4, 36.05479964114833)	(5, 35.965917886293276)	(6, 35.92861226428371)	(7, 35.95877603433718)	(8, 35.954523466085)	(9, 37.68398624401914)	(10, 37.618700306079376)	(12, 37.58305481283423)	(14, 38.948872431747816)	(16, 38.92522604137349)	(18, 38.93390488671545)	(20, 38.88771372783563)	(22, 38.82823494230228)	(24, 38.747244845904866)	(26, 38.65557275541796)	(28, 38.53723306009007)	(30, 38.459567618913596)	(32, 38.361820116802704)	(34, 38.219128201519844)	(36, 38.09776949057135)	(38, 37.938520264565156)	(40, 37.79491143048128)	(42, 37.61758549113425)	(44, 37.47999489867718)	(46, 37.4429157578103)	(48, 37.313880875316634)	(50, 37.230480843653254)	(52, 36.9972558401351)	(54, 36.8840856318604)	(56, 36.73902116169434)	(58, 36.473374173233886)	(60, 36.17629468055165)	(62, 35.84388632845483)	(64, 35.50252647410639)	(66, 35.18857963340838)	(68, 34.938175045735996)	(70, 34.65362237897551)	(72, 34.318544627779346)	(74, 34.068931624683366)	(76, 32.438260800731776)	(78, 33.41122598860118)	(80, 33.48086124401914)	(82, 33.31353345764143)	(84, 33.10142617154517)	(86, 32.939417393751754)	(88, 32.7618825640304)	(90, 32.56132581621165)	(92, 32.47188335561498)	(94, 32.33619256614129)	(96, 32.10275207571067)	(98, 31.836935776104703)	(100, 31.692790423585702)
UHR_Rep1_ERCC.read2	(1, 31.877005347593585)	(2, 31.987426998311285)	(3, 32.00945503799606)	(4, 35.52773184632705)	(5, 35.546127392344495)	(6, 35.554474211933574)	(7, 35.58649820574163)	(8, 35.57640550239235)	(9, 37.20352079228821)	(10, 37.133201695750074)	(12, 37.11148149451168)	(14, 38.40577504925415)	(16, 38.34785744441317)	(18, 38.295692020827474)	(20, 38.27102536588798)	(22, 38.16589193990993)	(24, 38.09372361384745)	(26, 38.009736490289896)	(28, 37.87722523219814)	(30, 37.75139406839291)	(32, 37.652496569800164)	(34, 37.53518373557557)	(36, 37.35817223121306)	(38, 37.22208564945117)	(40, 37.0356674817056)	(42, 36.80204668589924)	(44, 36.506035832395156)	(46, 36.71008654658036)	(48, 36.660229911342526)	(50, 35.21389714677737)	(52, 35.28813458696876)	(54, 36.08201475865466)	(56, 35.98084585209682)	(58, 35.700231318604)	(60, 35.38282129538418)	(62, 35.04209250985083)	(64, 34.6862026808331)	(66, 34.3265000527723)	(68, 34.002332975654376)	(70, 33.73061717210808)	(72, 33.459644578525186)	(74, 33.193621587390936)	(76, 32.89214660146355)	(78, 32.61915766605685)	(80, 32.315228767942585)	(82, 32.0808207852519)	(84, 31.824998240923165)	(86, 31.601964888826345)	(88, 31.361393540669855)	(90, 31.13020027089783)	(92, 30.906208221925134)	(94, 30.64446198634956)	(96, 30.339358904446946)	(98, 30.024629274556712)	(100, 29.769398219814242)
UHR_Rep2_ERCC.read1	(1, 32.37558584247381)	(2, 32.5464393710777)	(3, 32.51501173224612)	(4, 36.01174456344343)	(5, 35.905088900248195)	(6, 35.85630000061587)	(7, 35.89307335579191)	(8, 35.889679934471864)	(9, 37.605026697788425)	(10, 37.52416965874868)	(12, 37.49342871043831)	(14, 38.84947928534916)	(16, 38.806439494250895)	(18, 38.81919715716283)	(20, 38.79102744914487)	(22, 38.72025213551514)	(24, 38.65323668343875)	(26, 38.56577448221071)	(28, 38.42858110646475)	(30, 38.355468581599155)	(32, 38.26951217259027)	(34, 38.129150166591735)	(36, 38.019332031803316)	(38, 37.860056782839514)	(40, 37.72070479697979)	(42, 37.54887512086369)	(44, 37.39509339606954)	(46, 37.36446330362807)	(48, 37.25739808958386)	(50, 37.16726610951328)	(52, 36.96482789626354)	(54, 36.841288268369745)	(56, 36.72286340709354)	(58, 36.46039674083745)	(60, 36.17156793309233)	(62, 35.824182591933386)	(64, 35.49477129818381)	(66, 35.20748831394383)	(68, 34.935367949104844)	(70, 34.65388950133335)	(72, 34.31597001964612)	(74, 34.05117230081356)	(76, 32.38713024948729)	(78, 33.37047723451559)	(80, 33.434622751319495)	(82, 33.2740357079071)	(84, 33.037860358557154)	(86, 32.89384934687418)	(88, 32.69523566110129)	(90, 32.48591206666133)	(92, 32.38461443712933)	(94, 32.25383222580109)	(96, 32.00407703251156)	(98, 31.730752649763197)	(100, 31.589001866073794)
UHR_Rep2_ERCC.read2	(1, 31.872213976461605)	(2, 32.01380771433674)	(3, 32.01529195124805)	(4, 35.52784637840035)	(5, 35.520240434062316)	(6, 35.53300733496332)	(7, 35.574529016523684)	(8, 35.55602840373707)	(9, 37.19219328336607)	(10, 37.109069857673376)	(12, 37.08081084909437)	(14, 38.36849414619426)	(16, 38.312610470952684)	(18, 38.262023242780515)	(20, 38.24189674391678)	(22, 38.12787224476976)	(24, 38.06773293589451)	(26, 37.99340715513047)	(28, 37.86056487223861)	(30, 37.73916229915072)	(32, 37.66054393279671)	(34, 37.53081485222297)	(36, 37.370920657991164)	(38, 37.24505921550997)	(40, 37.06061352564774)	(42, 36.809115431752815)	(44, 36.55962198148707)	(46, 36.77451916266867)	(48, 36.7306818251803)	(50, 35.29085808601184)	(52, 35.35617374809851)	(54, 36.17950644503704)	(56, 36.09393803156929)	(58, 35.81153270556065)	(60, 35.49470047360091)	(62, 35.171001336429086)	(64, 34.81818097836463)	(66, 34.462940267162644)	(68, 34.14701951679159)	(70, 33.86195672925918)	(72, 33.58898954875502)	(74, 33.318285675574145)	(76, 33.00491153085796)	(78, 32.738213865605736)	(80, 32.44074753807591)	(82, 32.17703066396507)	(84, 31.916516292733398)	(86, 31.707743898308216)	(88, 31.453092570809186)	(90, 31.220141279646246)	(92, 31.001527347526988)	(94, 30.74555190826061)	(96, 30.442792212991076)	(98, 30.108124503458086)	(100, 29.84014583705419)
