Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
HBR_Rep1_ERCC.read1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 2.5)	(18.0, 2.0)	(19.0, 8.0)	(20.0, 11.5)	(21.0, 16.5)	(22.0, 23.0)	(23.0, 27.5)	(24.0, 44.5)	(25.0, 55.5)	(26.0, 79.0)	(27.0, 127.0)	(28.0, 164.5)	(29.0, 344.0)	(30.0, 612.5)	(31.0, 800.5)	(32.0, 901.5)	(33.0, 1073.0)	(34.0, 1335.5)	(35.0, 1652.0)	(36.0, 2214.0)	(37.0, 2790.0)	(38.0, 3281.5)	(39.0, 3170.0)	(40.0, 2564.5)	(41.0, 2377.0)	(42.0, 2248.0)	(43.0, 2272.0)	(44.0, 2794.0)	(45.0, 3218.5)	(46.0, 3678.5)	(47.0, 4033.5)	(48.0, 4144.0)	(49.0, 4238.0)	(50.0, 4228.5)	(51.0, 4704.5)	(52.0, 5843.0)	(53.0, 6108.0)	(54.0, 5386.0)	(55.0, 5008.0)	(56.0, 4478.5)	(57.0, 4039.0)	(58.0, 3866.0)	(59.0, 3492.0)	(60.0, 3016.5)	(61.0, 2665.0)	(62.0, 2510.5)	(63.0, 2380.0)	(64.0, 2095.0)	(65.0, 1728.0)	(66.0, 1489.5)	(67.0, 1243.5)	(68.0, 987.5)	(69.0, 759.5)	(70.0, 612.0)	(71.0, 471.5)	(72.0, 342.5)	(73.0, 245.5)	(74.0, 173.5)	(75.0, 130.5)	(76.0, 79.0)	(77.0, 53.5)	(78.0, 46.5)	(79.0, 31.5)	(80.0, 20.5)	(81.0, 14.5)	(82.0, 7.0)	(83.0, 2.5)	(84.0, 1.5)	(85.0, 1.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep1_ERCC.read2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 4.0)	(16.0, 4.5)	(17.0, 2.5)	(18.0, 5.0)	(19.0, 6.5)	(20.0, 5.5)	(21.0, 10.5)	(22.0, 21.5)	(23.0, 35.5)	(24.0, 40.0)	(25.0, 47.0)	(26.0, 85.0)	(27.0, 110.0)	(28.0, 175.0)	(29.0, 257.5)	(30.0, 422.5)	(31.0, 901.0)	(32.0, 1175.5)	(33.0, 1110.0)	(34.0, 1357.5)	(35.0, 1833.5)	(36.0, 2122.5)	(37.0, 2444.5)	(38.0, 2875.5)	(39.0, 2838.5)	(40.0, 2928.0)	(41.0, 2665.5)	(42.0, 2107.5)	(43.0, 2192.0)	(44.0, 2597.5)	(45.0, 2986.5)	(46.0, 3409.0)	(47.0, 3891.0)	(48.0, 4087.5)	(49.0, 4205.5)	(50.0, 4254.0)	(51.0, 4420.5)	(52.0, 5036.0)	(53.0, 5601.0)	(54.0, 5644.0)	(55.0, 5213.5)	(56.0, 4828.5)	(57.0, 4496.5)	(58.0, 4345.0)	(59.0, 3960.5)	(60.0, 3205.0)	(61.0, 2748.0)	(62.0, 2476.0)	(63.0, 2392.5)	(64.0, 2075.0)	(65.0, 1697.5)	(66.0, 1444.0)	(67.0, 1241.5)	(68.0, 1038.0)	(69.0, 801.0)	(70.0, 646.0)	(71.0, 517.5)	(72.0, 405.0)	(73.0, 323.5)	(74.0, 233.0)	(75.0, 165.0)	(76.0, 124.5)	(77.0, 95.5)	(78.0, 70.0)	(79.0, 47.5)	(80.0, 30.5)	(81.0, 16.0)	(82.0, 8.5)	(83.0, 6.5)	(84.0, 2.5)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep2_ERCC.read1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 2.0)	(16.0, 2.5)	(17.0, 1.5)	(18.0, 1.5)	(19.0, 6.5)	(20.0, 11.0)	(21.0, 16.0)	(22.0, 22.5)	(23.0, 26.5)	(24.0, 48.0)	(25.0, 73.0)	(26.0, 85.0)	(27.0, 114.0)	(28.0, 167.5)	(29.0, 408.0)	(30.0, 714.0)	(31.0, 919.5)	(32.0, 1032.0)	(33.0, 1157.5)	(34.0, 1432.5)	(35.0, 1834.5)	(36.0, 2460.0)	(37.0, 3193.0)	(38.0, 3817.0)	(39.0, 3627.0)	(40.0, 2989.5)	(41.0, 2822.5)	(42.0, 2711.0)	(43.0, 2831.0)	(44.0, 3439.0)	(45.0, 3873.0)	(46.0, 4353.0)	(47.0, 4943.0)	(48.0, 5266.5)	(49.0, 5310.5)	(50.0, 5266.5)	(51.0, 5869.0)	(52.0, 7188.0)	(53.0, 7621.5)	(54.0, 6789.5)	(55.0, 6225.5)	(56.0, 5536.5)	(57.0, 4958.5)	(58.0, 4720.5)	(59.0, 4321.0)	(60.0, 3824.0)	(61.0, 3348.0)	(62.0, 3122.5)	(63.0, 2951.0)	(64.0, 2596.0)	(65.0, 2171.0)	(66.0, 1851.5)	(67.0, 1549.0)	(68.0, 1266.0)	(69.0, 965.5)	(70.0, 762.0)	(71.0, 594.0)	(72.0, 442.0)	(73.0, 331.0)	(74.0, 254.5)	(75.0, 181.5)	(76.0, 128.5)	(77.0, 90.0)	(78.0, 65.0)	(79.0, 55.5)	(80.0, 32.5)	(81.0, 15.0)	(82.0, 12.5)	(83.0, 5.5)	(84.0, 1.5)	(85.0, 1.5)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep2_ERCC.read2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 6.0)	(16.0, 5.5)	(17.0, 4.0)	(18.0, 7.5)	(19.0, 7.5)	(20.0, 10.0)	(21.0, 12.0)	(22.0, 18.5)	(23.0, 31.5)	(24.0, 40.0)	(25.0, 52.0)	(26.0, 83.0)	(27.0, 117.0)	(28.0, 181.0)	(29.0, 268.0)	(30.0, 434.5)	(31.0, 864.5)	(32.0, 1174.5)	(33.0, 1175.0)	(34.0, 1443.5)	(35.0, 2000.0)	(36.0, 2416.0)	(37.0, 2811.5)	(38.0, 3453.0)	(39.0, 3414.5)	(40.0, 3523.0)	(41.0, 3223.5)	(42.0, 2446.0)	(43.0, 2673.0)	(44.0, 3303.0)	(45.0, 3739.0)	(46.0, 4177.5)	(47.0, 4783.0)	(48.0, 5043.5)	(49.0, 5179.0)	(50.0, 5198.5)	(51.0, 5494.0)	(52.0, 6450.0)	(53.0, 7034.5)	(54.0, 7016.5)	(55.0, 6491.5)	(56.0, 5864.5)	(57.0, 5511.5)	(58.0, 5360.5)	(59.0, 4932.0)	(60.0, 4020.5)	(61.0, 3365.0)	(62.0, 3033.0)	(63.0, 2960.5)	(64.0, 2579.0)	(65.0, 2173.5)	(66.0, 1885.0)	(67.0, 1544.5)	(68.0, 1259.5)	(69.0, 1016.0)	(70.0, 813.0)	(71.0, 646.0)	(72.0, 520.5)	(73.0, 410.5)	(74.0, 306.5)	(75.0, 226.0)	(76.0, 176.0)	(77.0, 132.0)	(78.0, 100.0)	(79.0, 76.0)	(80.0, 43.5)	(81.0, 23.5)	(82.0, 15.5)	(83.0, 9.5)	(84.0, 7.5)	(85.0, 4.0)	(86.0, 1.5)	(87.0, 0.5)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep3_ERCC.read1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.5)	(17.0, 3.5)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 8.5)	(21.0, 21.0)	(22.0, 24.0)	(23.0, 24.5)	(24.0, 47.5)	(25.0, 69.5)	(26.0, 86.5)	(27.0, 120.0)	(28.0, 183.0)	(29.0, 402.0)	(30.0, 654.0)	(31.0, 817.0)	(32.0, 928.5)	(33.0, 1075.5)	(34.0, 1389.0)	(35.0, 1762.0)	(36.0, 2370.0)	(37.0, 3058.0)	(38.0, 3601.0)	(39.0, 3419.5)	(40.0, 2795.5)	(41.0, 2616.5)	(42.0, 2538.0)	(43.0, 2603.0)	(44.0, 3065.5)	(45.0, 3502.0)	(46.0, 4041.0)	(47.0, 4423.5)	(48.0, 4513.5)	(49.0, 4632.0)	(50.0, 4630.0)	(51.0, 5165.0)	(52.0, 6445.5)	(53.0, 6791.0)	(54.0, 5892.0)	(55.0, 5404.0)	(56.0, 4939.5)	(57.0, 4415.5)	(58.0, 4111.5)	(59.0, 3829.0)	(60.0, 3445.0)	(61.0, 2976.0)	(62.0, 2701.5)	(63.0, 2595.0)	(64.0, 2346.0)	(65.0, 1891.0)	(66.0, 1592.5)	(67.0, 1339.5)	(68.0, 1062.0)	(69.0, 832.0)	(70.0, 680.0)	(71.0, 522.0)	(72.0, 382.0)	(73.0, 293.0)	(74.0, 222.5)	(75.0, 166.0)	(76.0, 106.5)	(77.0, 64.0)	(78.0, 50.5)	(79.0, 42.0)	(80.0, 27.0)	(81.0, 11.0)	(82.0, 6.0)	(83.0, 3.0)	(84.0, 2.0)	(85.0, 1.5)	(86.0, 1.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep3_ERCC.read2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.5)	(16.0, 2.5)	(17.0, 2.5)	(18.0, 6.0)	(19.0, 7.5)	(20.0, 8.5)	(21.0, 10.0)	(22.0, 15.5)	(23.0, 28.0)	(24.0, 37.0)	(25.0, 56.0)	(26.0, 84.0)	(27.0, 118.5)	(28.0, 191.5)	(29.0, 266.5)	(30.0, 469.0)	(31.0, 905.5)	(32.0, 1161.5)	(33.0, 1158.5)	(34.0, 1488.0)	(35.0, 2017.0)	(36.0, 2319.0)	(37.0, 2682.0)	(38.0, 3187.0)	(39.0, 3145.0)	(40.0, 3177.5)	(41.0, 2896.0)	(42.0, 2265.0)	(43.0, 2443.0)	(44.0, 2955.0)	(45.0, 3303.5)	(46.0, 3723.5)	(47.0, 4208.0)	(48.0, 4473.5)	(49.0, 4598.5)	(50.0, 4596.0)	(51.0, 4916.5)	(52.0, 5656.5)	(53.0, 6128.0)	(54.0, 6149.0)	(55.0, 5682.0)	(56.0, 5202.5)	(57.0, 4923.0)	(58.0, 4752.0)	(59.0, 4336.5)	(60.0, 3586.0)	(61.0, 3024.5)	(62.0, 2710.5)	(63.0, 2585.0)	(64.0, 2247.0)	(65.0, 1894.5)	(66.0, 1621.5)	(67.0, 1360.0)	(68.0, 1102.5)	(69.0, 865.5)	(70.0, 708.0)	(71.0, 607.0)	(72.0, 476.0)	(73.0, 358.0)	(74.0, 260.0)	(75.0, 173.5)	(76.0, 124.5)	(77.0, 102.5)	(78.0, 88.0)	(79.0, 61.0)	(80.0, 33.0)	(81.0, 20.0)	(82.0, 11.0)	(83.0, 6.5)	(84.0, 4.5)	(85.0, 1.5)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
UHR_Rep1_ERCC.read1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.5)	(12.0, 0.5)	(13.0, 0.5)	(14.0, 1.5)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 4.5)	(18.0, 5.5)	(19.0, 10.5)	(20.0, 21.5)	(21.0, 32.5)	(22.0, 36.5)	(23.0, 48.0)	(24.0, 85.0)	(25.0, 122.5)	(26.0, 171.0)	(27.0, 241.5)	(28.0, 358.5)	(29.0, 777.5)	(30.0, 1240.0)	(31.0, 1556.5)	(32.0, 1718.0)	(33.0, 2010.5)	(34.0, 2527.5)	(35.0, 3023.0)	(36.0, 4010.5)	(37.0, 5006.0)	(38.0, 5755.5)	(39.0, 5573.5)	(40.0, 4881.5)	(41.0, 4920.5)	(42.0, 5048.5)	(43.0, 5544.0)	(44.0, 6997.5)	(45.0, 8155.0)	(46.0, 9665.0)	(47.0, 10532.5)	(48.0, 10267.5)	(49.0, 9358.0)	(50.0, 8324.5)	(51.0, 9039.5)	(52.0, 10160.0)	(53.0, 10291.0)	(54.0, 9323.5)	(55.0, 9107.0)	(56.0, 8066.0)	(57.0, 6578.0)	(58.0, 6279.0)	(59.0, 6219.5)	(60.0, 5950.0)	(61.0, 5153.0)	(62.0, 4661.0)	(63.0, 4202.5)	(64.0, 3356.0)	(65.0, 2508.5)	(66.0, 1987.0)	(67.0, 1646.0)	(68.0, 1368.0)	(69.0, 1039.5)	(70.0, 742.5)	(71.0, 546.5)	(72.0, 408.5)	(73.0, 280.5)	(74.0, 173.5)	(75.0, 102.0)	(76.0, 67.5)	(77.0, 41.5)	(78.0, 24.5)	(79.0, 16.5)	(80.0, 7.5)	(81.0, 2.0)	(82.0, 2.5)	(83.0, 2.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
UHR_Rep1_ERCC.read2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 5.5)	(16.0, 5.5)	(17.0, 3.0)	(18.0, 11.0)	(19.0, 18.5)	(20.0, 17.0)	(21.0, 22.0)	(22.0, 41.0)	(23.0, 65.5)	(24.0, 76.5)	(25.0, 99.5)	(26.0, 168.5)	(27.0, 224.0)	(28.0, 350.5)	(29.0, 533.0)	(30.0, 900.0)	(31.0, 1731.0)	(32.0, 2181.5)	(33.0, 2052.0)	(34.0, 2663.0)	(35.0, 3546.5)	(36.0, 3920.5)	(37.0, 4287.0)	(38.0, 5016.0)	(39.0, 5629.5)	(40.0, 6014.0)	(41.0, 5659.5)	(42.0, 4878.0)	(43.0, 5277.5)	(44.0, 6457.5)	(45.0, 7009.0)	(46.0, 7433.5)	(47.0, 8898.0)	(48.0, 10239.5)	(49.0, 10041.5)	(50.0, 9126.5)	(51.0, 8583.0)	(52.0, 8939.5)	(53.0, 9483.5)	(54.0, 9333.5)	(55.0, 9020.0)	(56.0, 8604.0)	(57.0, 8047.0)	(58.0, 7978.5)	(59.0, 7457.5)	(60.0, 6354.5)	(61.0, 5382.5)	(62.0, 4450.5)	(63.0, 3976.0)	(64.0, 3376.5)	(65.0, 2610.0)	(66.0, 2025.0)	(67.0, 1634.0)	(68.0, 1368.0)	(69.0, 1175.0)	(70.0, 919.0)	(71.0, 657.5)	(72.0, 465.0)	(73.0, 327.0)	(74.0, 227.5)	(75.0, 143.5)	(76.0, 94.5)	(77.0, 61.0)	(78.0, 37.0)	(79.0, 25.5)	(80.0, 17.5)	(81.0, 8.5)	(82.0, 4.5)	(83.0, 2.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
UHR_Rep2_ERCC.read1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.5)	(10.0, 0.5)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.5)	(14.0, 0.5)	(15.0, 3.0)	(16.0, 3.5)	(17.0, 5.5)	(18.0, 13.0)	(19.0, 21.5)	(20.0, 23.5)	(21.0, 27.0)	(22.0, 44.5)	(23.0, 66.0)	(24.0, 93.5)	(25.0, 121.0)	(26.0, 187.5)	(27.0, 277.5)	(28.0, 372.5)	(29.0, 682.0)	(30.0, 1018.5)	(31.0, 1198.5)	(32.0, 1334.0)	(33.0, 1566.5)	(34.0, 1927.0)	(35.0, 2314.0)	(36.0, 3067.0)	(37.0, 3884.5)	(38.0, 4609.5)	(39.0, 4544.5)	(40.0, 3774.5)	(41.0, 3744.5)	(42.0, 3952.0)	(43.0, 4213.0)	(44.0, 5062.0)	(45.0, 5765.5)	(46.0, 6687.5)	(47.0, 7202.5)	(48.0, 7268.5)	(49.0, 6780.5)	(50.0, 5841.0)	(51.0, 6224.5)	(52.0, 7096.0)	(53.0, 7130.5)	(54.0, 6399.5)	(55.0, 6183.5)	(56.0, 5514.5)	(57.0, 4626.5)	(58.0, 4372.5)	(59.0, 4204.5)	(60.0, 4038.5)	(61.0, 3555.5)	(62.0, 3131.0)	(63.0, 2704.0)	(64.0, 2111.5)	(65.0, 1628.0)	(66.0, 1345.0)	(67.0, 1147.0)	(68.0, 950.5)	(69.0, 709.5)	(70.0, 507.0)	(71.0, 372.5)	(72.0, 269.0)	(73.0, 178.0)	(74.0, 114.0)	(75.0, 72.0)	(76.0, 38.0)	(77.0, 23.0)	(78.0, 13.0)	(79.0, 5.5)	(80.0, 4.0)	(81.0, 2.0)	(82.0, 1.0)	(83.0, 1.5)	(84.0, 1.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
UHR_Rep2_ERCC.read2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 4.5)	(16.0, 6.0)	(17.0, 5.5)	(18.0, 11.0)	(19.0, 21.0)	(20.0, 21.0)	(21.0, 27.5)	(22.0, 44.5)	(23.0, 64.0)	(24.0, 87.5)	(25.0, 117.0)	(26.0, 172.5)	(27.0, 233.0)	(28.0, 340.5)	(29.0, 501.0)	(30.0, 821.0)	(31.0, 1409.0)	(32.0, 1738.0)	(33.0, 1736.5)	(34.0, 2190.0)	(35.0, 2743.0)	(36.0, 3117.5)	(37.0, 3491.5)	(38.0, 3992.0)	(39.0, 4340.5)	(40.0, 4363.0)	(41.0, 4106.5)	(42.0, 3676.0)	(43.0, 3858.0)	(44.0, 4642.5)	(45.0, 5111.5)	(46.0, 5347.0)	(47.0, 6210.0)	(48.0, 7280.0)	(49.0, 7256.0)	(50.0, 6508.5)	(51.0, 6031.5)	(52.0, 6064.5)	(53.0, 6343.0)	(54.0, 6414.5)	(55.0, 6402.0)	(56.0, 5967.0)	(57.0, 5488.0)	(58.0, 5438.5)	(59.0, 5012.0)	(60.0, 4246.0)	(61.0, 3552.0)	(62.0, 2985.5)	(63.0, 2670.5)	(64.0, 2287.5)	(65.0, 1789.0)	(66.0, 1367.5)	(67.0, 1122.5)	(68.0, 926.0)	(69.0, 757.5)	(70.0, 580.5)	(71.0, 412.5)	(72.0, 297.0)	(73.0, 199.5)	(74.0, 143.0)	(75.0, 101.0)	(76.0, 62.5)	(77.0, 44.5)	(78.0, 30.5)	(79.0, 16.5)	(80.0, 10.5)	(81.0, 6.0)	(82.0, 4.5)	(83.0, 2.5)	(84.0, 0.5)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
