Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HBR_Rep1_ERCC.read1	(1.0, 50.38247126194432)	(2.0, 7.4115930539507975)	(3.0, 2.9400106265444332)	(4.0, 1.9127779979927637)	(5.0, 1.4969933626266119)	(6.0, 1.0626544433293132)	(7.0, 1.115787165495779)	(8.0, 0.8501235546634506)	(9.0, 0.8197619991397559)	('>10', 16.65668671091582)	('>50', 6.54122846227155)	('>100', 8.809911361125401)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep1_ERCC.read2	(1.0, 49.70945678116909)	(2.0, 6.917374400148435)	(3.0, 2.608563645410767)	(4.0, 1.666512047633907)	(5.0, 1.4042219429708782)	(6.0, 1.3460289615504633)	(7.0, 1.086268986514409)	(8.0, 0.9715697767582292)	(9.0, 0.9563889989963819)	('>10', 20.23682013308482)	('>50', 6.911470764352161)	('>100', 5.736647240893642)	('>500', 0.44867632051682116)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep2_ERCC.read1	(1.0, 48.506483642439896)	(2.0, 7.8535622056813)	(3.0, 3.0947481805753108)	(4.0, 1.8587822628533552)	(5.0, 1.4120392747158659)	(6.0, 1.0564401419634595)	(7.0, 0.9666772540842115)	(8.0, 0.9335340339441812)	(9.0, 0.7208650380456548)	('>10', 15.94188888735448)	('>50', 6.9096709154433595)	('>100', 10.355184842500655)	('>500', 0.390123320398271)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep2_ERCC.read2	(1.0, 48.05628823553782)	(2.0, 7.042934279756398)	(3.0, 2.777816137986273)	(4.0, 1.7151616422465579)	(5.0, 1.242870755251129)	(6.0, 1.2097275351110988)	(7.0, 1.087511910844738)	(8.0, 0.8727714636874594)	(9.0, 0.8637951748995346)	('>10', 18.846754035877535)	('>50', 8.177399085799511)	('>100', 7.6070595058898265)	('>500', 0.49991023711212074)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep3_ERCC.read1	(1.0, 49.82740819502874)	(2.0, 7.28275777048372)	(3.0, 3.0373075678424484)	(4.0, 1.9015918512012082)	(5.0, 1.3021435285778127)	(6.0, 0.956959918635292)	(7.0, 1.1488142018399519)	(8.0, 0.9430909343072443)	(9.0, 0.8876149969950534)	('>10', 15.859954078251892)	('>50', 6.763441357311266)	('>100', 10.088915599525372)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep3_ERCC.read2	(1.0, 49.28959980275222)	(2.0, 7.026952059544173)	(3.0, 2.394711293976238)	(4.0, 1.7937219730941705)	(5.0, 1.290586041637773)	(6.0, 1.1696176783320233)	(7.0, 1.0193703481115066)	(8.0, 0.9245989552031807)	(9.0, 0.8737460126670057)	('>10', 19.297150694219717)	('>50', 7.672630329927727)	('>100', 6.823540289399473)	('>500', 0.4237745211347911)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep1_ERCC.read1	(1.0, 47.75184602507157)	(2.0, 8.849832674553658)	(3.0, 3.354105359158352)	(4.0, 2.048563527191509)	(5.0, 1.426356841299268)	(6.0, 1.1540016651639193)	(7.0, 1.0135392457784815)	(8.0, 0.8002207349439702)	(9.0, 0.8405633548686317)	('>10', 14.07681116056133)	('>50', 7.4081208231518785)	('>100', 10.336000280149914)	('>500', 0.940038308107523)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep1_ERCC.read2	(1.0, 47.24019649584274)	(2.0, 8.560308576397809)	(3.0, 3.088787655296963)	(4.0, 1.790307877708457)	(5.0, 1.3290173333872883)	(6.0, 1.1360626723081964)	(7.0, 0.8517203364519579)	(8.0, 0.8337147175519486)	(9.0, 0.7856997338185903)	('>10', 17.673879012397066)	('>50', 7.859725462261662)	('>100', 8.408078401489218)	('>500', 0.4425017250881088)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep2_ERCC.read1	(1.0, 46.75592616999132)	(2.0, 6.23995368688144)	(3.0, 2.9247473409988114)	(4.0, 1.9264286550103773)	(5.0, 1.5673788129799904)	(6.0, 1.2785376879160946)	(7.0, 1.1036317614381703)	(8.0, 1.0248009213354436)	(9.0, 0.936732092158179)	('>10', 16.688735196122508)	('>50', 7.24196756849969)	('>100', 10.791818836875589)	('>500', 1.5193412697923916)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep2_ERCC.read2	(1.0, 46.36854649479901)	(2.0, 5.776822501277922)	(3.0, 2.5182758217191283)	(4.0, 1.7638400472985043)	(5.0, 1.487316241000659)	(6.0, 1.2563665141372027)	(7.0, 1.1122538845744057)	(8.0, 1.1085586889445906)	(9.0, 0.8868469511556725)	('>10', 20.60564256372673)	('>50', 8.083856306159275)	('>100', 8.611653415284561)	('>500', 0.42002056992233927)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep3_ERCC.read1	(1.0, 41.58712697231479)	(2.0, 6.713689455463164)	(3.0, 3.1885980522211796)	(4.0, 2.1548516517293814)	(5.0, 1.7417844932647406)	(6.0, 1.274792118290355)	(7.0, 1.1022314254591732)	(8.0, 1.0137940703831927)	(9.0, 0.9949202446047821)	('>10', 17.678842980554567)	('>50', 8.546068312464275)	('>100', 13.198735992925013)	('>500', 0.8045642303253848)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHR_Rep3_ERCC.read2	(1.0, 40.59705999719589)	(2.0, 6.259639132451117)	(3.0, 2.8051897628368976)	(4.0, 1.8981676211429988)	(5.0, 1.5233873664002762)	(6.0, 1.3039117352056169)	(7.0, 1.1399790770159943)	(8.0, 0.9016296200429245)	(9.0, 0.9997735140906591)	('>10', 22.318029356887866)	('>50', 8.980705557532813)	('>100', 10.891815230638151)	('>500', 0.38071202855879466)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
