Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
HBR_Rep1_ERCC.read1	42.68581693668773	50.0	100.0	100	9.090909090909092	0.118571
HBR_Rep1_ERCC.read2	43.55955503453627	50.0	100.0	100	9.090909090909092	0.118571
HBR_Rep2_ERCC.read1	44.349080966124866	50.0	100.0	100	9.090909090909092	0.14482599999999998
HBR_Rep2_ERCC.read2	45.194923563448555	50.0	100.0	100	0.0	0.14482599999999998
HBR_Rep3_ERCC.read1	43.329018538209056	50.0	100.0	100	9.090909090909092	0.12978599999999998
HBR_Rep3_ERCC.read2	44.05791071456089	50.0	100.0	100	0.0	0.12978599999999998
UHR_Rep1_ERCC.read1	44.53446790661649	49.0	100.0	100	9.090909090909092	0.22739199999999998
UHR_Rep1_ERCC.read2	45.25801767783306	49.0	100.0	100	0.0	0.22739199999999998
UHR_Rep2_ERCC.read1	46.779329075646814	48.0	100.0	100	9.090909090909092	0.162373
UHR_Rep2_ERCC.read2	47.404433003023904	49.0	100.0	100	9.090909090909092	0.162373
UHR_Rep3_ERCC.read1	51.462451871744264	49.0	100.0	100	18.181818181818183	0.185442
UHR_Rep3_ERCC.read2	52.71998792075151	49.0	100.0	100	9.090909090909092	0.185442
